12:00 AM,35
12:30 AM,41
01:00 AM,38
01:30 AM,39
02:00 AM,32
02:30 AM,17
03:00 AM,17
03:30 AM,19
04:00 AM,18
04:30 AM,16
05:00 AM,0
05:30 AM,0
06:00 AM,2
06:30 AM,0
07:00 AM,1
07:30 AM,1
08:00 AM,2
08:30 AM,2
09:00 AM,3
09:30 AM,4
10:00 AM,7
10:30 AM,9
11:00 AM,9
11:30 AM,11
12:00 PM,13
12:30 PM,18
01:00 PM,21
01:30 PM,17
02:00 PM,20
02:30 PM,22
03:00 PM,24
03:30 PM,28
04:00 PM,31
04:30 PM,26
05:00 PM,28
05:30 PM,39
06:00 PM,36
06:30 PM,28
07:00 PM,31
07:30 PM,37
08:00 PM,36
08:30 PM,34
09:00 PM,32
09:30 PM,34
10:00 PM,40
10:30 PM,48
11:00 PM,41
11:30 PM,36
